num,kind,UN_CCL_ID,bie,den1,den2,den3,den4,den5,den6,den7,den8,den9,den10,den11,den12,term,desc,occur,,,,,,,,,,
140,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,請求者国際企業識別子,請求者の国際企業識別子。,0..1,,,,,,,,,,
141,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,請求者名称,請求者の企業等を表す名称。,0..1,,,,,,,,,,
142,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,請求者適格請求書発行事業者登録番号,登録された請求者の適格請求書発行事業者登録番号,0..1,,,,,,,,,,
143,ヘッダ部,UN01012925,BBIE,,,,,,CI_ Trade_ Party. Type. Code,,,,,,,請求者タイプコード,適格請求書発行事業者の課税区分を識別するコード,1..1,,,,,,,,,,
144,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,請求者／連絡先グループ,請求者の連絡先に関する情報,0..1,,,,,,,,,,
145,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,請求者連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
146,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,請求部門識別子,請求者の請求部門を表す識別子。,0..1,,,,,,,,,,
147,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,請求者担当名,請求者個人の、文字で表現された名前。,0..1,,,,,,,,,,
148,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,請求者部門名,請求者の請求部門の名称。,0..1,,,,,,,,,,
149,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,請求者担当識別子,請求者個人を表す識別子,0..1,,,,,,,,,,
150,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
151,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
152,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求者電話番号,請求者の電話番号。,0..1,,,,,,,,,,
153,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
154,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
155,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求者FAX番号,請求者のFAX番号,0..1,,,,,,,,,,
156,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
157,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
158,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,請求者メールアドレス,請求者の電子メールアドレス。,0..1,,,,,,,,,,
159,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,請求者／住所グループ,請求者の住所に関するグループ。,0..1,,,,,,,,,,
160,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,請求者住所クラス,請求者住所に関する情報からなるクラス。,－,,,,,,,,,,
161,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,請求者郵便番号,請求者の郵便番号。,0..1,,,,,,,,,,
162,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,請求者住所1,請求者の住所1行目。,0..1,,,,,,,,,,
163,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,請求者住所2,請求者の住所2行目。,0..1,,,,,,,,,,
164,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,請求者住所3,請求者の住所3行目。,0..1,,,,,,,,,,
165,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,請求者国識別子,請求者の国ID。デフォルトは「JP」,1..1,,,,,,,,,,
166,ヘッダ部,UN01005763,ASBIE,,,,,,CI_ Trade_ Party. URI. CI_ Universal_ Communication,,,,,,,送信者／国際アドレスグループ,送信者の国際アドレスグループ,1..1,,,,,,,,,,
167,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,国際アドレスクラス\n（JP-PINTのアドレス方式に対応）,－,,,,,,,,,,
168,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,JP-PINT対応国際アドレス登録機関のコード,1..1,,,,,,,,,,
169,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,国際アドレス,jp-pint対応国際アドレス番号,1..1,,,,,,,,,,
170,ヘッダ部,UN01005917,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／請求先グループ,請求先にかかわるグループ,0..1,,,,,,,,,,
171,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,請求先クラス,請求先に関する情報からなるクラス。,－,,,,,,,,,,
172,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,請求先識別子,請求を受ける企業等を表す識別子。,0..1,,,,,,,,,,
173,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,請求先国際企業識別子,請求を受ける企業等を表す法人識別子。,0..1,,,,,,,,,,
174,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,請求先名称,請求を受ける企業等の名称,0..1,,,,,,,,,,
175,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,請求先／連絡先グループ,請求先の連絡先に関するグループ,0..1,,,,,,,,,,
176,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,請求先連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
177,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,請求先部門識別子,請求先の部門を表すコード。,0..1,,,,,,,,,,
178,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,請求先担当名,請求先の担当者の名称,0..1,,,,,,,,,,
179,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,請求先部門名,請求先の部門を表す名称,0..1,,,,,,,,,,
180,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,請求先担当識別子,請求先個人を表す識別子,0..1,,,,,,,,,,
181,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
182,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
183,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求先電話番号,請求先の電話番号。,0..1,,,,,,,,,,
184,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
185,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
186,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求先FAX番号,請求先のFAX番号,0..1,,,,,,,,,,
187,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
188,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
189,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,請求先メールアドレス,請求先の電子メールアドレス。,0..1,,,,,,,,,,
190,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,請求先／住所グループ,請求先の住所に関するグループ。,0..1,,,,,,,,,,
191,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,請求先住所クラス,請求先住所に関する情報からなるクラス。,－,,,,,,,,,,
192,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,請求先郵便番号,請求先の郵便番号。,0..1,,,,,,,,,,
193,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,請求先住所1,請求先の住所1行目。,0..1,,,,,,,,,,
194,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,請求先住所2,請求先の住所2行目。,0..1,,,,,,,,,,
195,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,請求先住所3,請求先の住所3行目。,0..1,,,,,,,,,,
196,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,請求先国識別子,請求先の国ID。デフォルトは「JP」,1..1,,,,,,,,,,
197,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,送信者／国際アドレスグループ,送信者の国際アドレスグループ,1..1,,,,,,,,,,
198,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,国際アドレスクラス\n（JP-PINTのアドレス方式に対応）,－,,,,,,,,,,
199,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,JP-PINT対応国際アドレス登録機関のコード,1..1,,,,,,,,,,
200,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,国際アドレス,jp-pint対応国際アドレス番号,1..1,,,,,,,,,,
201,ヘッダ部,UN01005918,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／支払先グループ,支払先にかかわる情報,0..1,,,,,,,,,,
202,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,支払先クラス,支払先に関する情報からなるクラス。,－,,,,,,,,,,
203,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,支払先識別子,支払先の識別子。,0..1,,,,,,,,,,
204,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,支払先国際企業識別子,支払先の国際企業識別子。,0..1,,,,,,,,,,
205,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,支払先名称,支払先の企業等を表す名称。,1..1,,,,,,,,,,
206,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,支払先／連絡先グループ,支払先の連絡先に関するグループ,0..1,,,,,,,,,,
207,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,支払先連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
208,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,支払先部門識別子,支払先の支払先部門を表す識別子。,0..1,,,,,,,,,,
209,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,支払先担当名,支払先個人の、文字で表現された名前。,0..1,,,,,,,,,,
210,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,支払先部門名,支払先の請求部門の名称。,0..1,,,,,,,,,,
211,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,支払先担当識別子,支払先個人を表す識別子,0..1,,,,,,,,,,
212,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
213,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
214,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払先電話番号,支払先の電話番号。,0..1,,,,,,,,,,
215,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
216,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
217,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払先FAX番号,支払先のFAX番号,0..1,,,,,,,,,,
218,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
219,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
220,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,支払先メールアドレス,支払先の電子メールアドレス。,0..1,,,,,,,,,,
221,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,支払先／住所グループ,支払先の住所に関するグループ。,0..1,,,,,,,,,,
222,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,支払先住所クラス,支払先住所に関する情報からなるクラス。,－,,,,,,,,,,
223,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,支払先郵便番号,支払先の郵便番号。,0..1,,,,,,,,,,
224,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,支払先住所1,支払先の住所1行目。,0..1,,,,,,,,,,
225,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,支払先住所2,支払先の住所2行目。,0..1,,,,,,,,,,
226,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,支払先住所3,支払先の住所3行目。,0..1,,,,,,,,,,
227,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,支払先国識別子,支払先の国ID。デフォルトは「JP」,1..1,,,,,,,,,,
228,ヘッダ部,UN01005919,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payer. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／支払人グループ,支払人にかかわる情報,0..1,,,,,,,,,,
229,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,支払人クラス,支払人に関する情報からなるクラス。,－,,,,,,,,,,
230,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,支払人識別子,支払人の識別子。,0..1,,,,,,,,,,
231,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,支払人国際企業識別子,支払人の国際企業識別子。,0..1,,,,,,,,,,
232,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,支払人名称,支払人の企業等を表す名称。,0..1,,,,,,,,,,
233,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,支払人／連絡先グループ,支払人の連絡先に関する情報,0..1,,,,,,,,,,
234,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,支払人連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
235,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,支払人部門識別子,支払人の支払人部門を表す識別子。,0..1,,,,,,,,,,
236,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,支払人担当名,支払人個人の、文字で表現された名前。,0..1,,,,,,,,,,
237,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,支払人部門名,支払人の請求部門の名称。,0..1,,,,,,,,,,
238,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,支払人担当識別子,支払人個人を表す識別子,0..1,,,,,,,,,,
239,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
240,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
241,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払人電話番号,支払人の電話番号。,0..1,,,,,,,,,,
242,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
243,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
244,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払人FAX番号,支払人のFAX番号,0..1,,,,,,,,,,
245,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
246,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
247,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,支払人メールアドレス,支払人の電子メールアドレス。,0..1,,,,,,,,,,
248,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,支払人／住所グループ,支払人の住所に関するグループ。,0..1,,,,,,,,,,
249,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,支払人住所クラス,支払人住所に関する情報からなるクラス。,－,,,,,,,,,,
250,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,支払人郵便番号,支払人の郵便番号。,0..1,,,,,,,,,,
251,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,支払人住所1,支払人の住所1行目。,0..1,,,,,,,,,,
252,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,支払人住所2,支払人の住所2行目。,0..1,,,,,,,,,,
253,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,支払人住所3,支払人の住所3行目。,0..1,,,,,,,,,,
254,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,支払人国識別子,支払人の国ID。デフォルトは「JP」,1..1,,,,,,,,,,
255,ヘッダ部,UN01005921,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Applicable. CI_ Trade_ Currency Exchange,,,,,,,,,インボイス文書決済／請求者為替グループ,請求に関する為替に関するグループ,0..1,,,,,,,,,,
256,ヘッダ部,UN01005738,ABIE,,,,,CI_ Trade_ Currency Exchange. Details,,,,,,,,請求為替クラス,請求為替に関する情報からなるクラス,－,,,,,,,,,,
257,ヘッダ部,UN01005739,BBIE,,,,,,CI_ Trade_ Currency Exchange. Source Currency. Code,,,,,,,為替交換元通貨コード,為替における交換元通貨を表すコード\nデフォルト＝「JPY」,0..1,,,,,,,,,,
258,ヘッダ部,UN01005741,BBIE,,,,,,CI_ Trade_ Currency Exchange. Target Currency. Code,,,,,,,為替交換先通貨コード,為替における交換先通貨を表すコード\nデフォルト＝「JPY」,0..1,,,,,,,,,,
259,ヘッダ部,UN01005744,BBIE,,,,,,CI_ Trade_ Currency Exchange. Conversion. Rate,,,,,,,為替レート,為替交換のレート,0..1,,,,,,,,,,
260,ヘッダ部,UN01005745,BBIE,,,,,,CI_ Trade_ Currency Exchange. Conversion Rate. Date Time,,,,,,,為替レート日時,為替交換レートの適用日。,0..1,,,,,,,,,,
261,ヘッダ部,UN01005922,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Applicable. CI_ Trade_ Currency Exchange,,,,,,,,,インボイス文書決済／支払者為替グループ,支払いに関する為替に関するグループ,0..1,,,,,,,,,,
262,ヘッダ部,UN01005738,ABIE,,,,,CI_ Trade_ Currency Exchange. Details,,,,,,,,支払為替クラス,支払為替に関する情報からなるクラス,－,,,,,,,,,,
263,ヘッダ部,UN01005739,BBIE,,,,,,CI_ Trade_ Currency Exchange. Source Currency. Code,,,,,,,為替交換元通貨コード,為替における交換元通貨を表すコード,0..1,,,,,,,,,,
264,ヘッダ部,UN01005741,BBIE,,,,,,CI_ Trade_ Currency Exchange. Target Currency. Code,,,,,,,為替交換先通貨コード,為替における交換先通貨を表すコード,0..1,,,,,,,,,,
265,ヘッダ部,UN01005744,BBIE,,,,,,CI_ Trade_ Currency Exchange. Conversion. Rate,,,,,,,為替レート,為替交換のレート,0..1,,,,,,,,,,
266,ヘッダ部,UN01005745,BBIE,,,,,,CI_ Trade_ Currency Exchange. Conversion Rate. Date Time,,,,,,,為替レート日時,為替交換レートの適用日。,0..1,,,,,,,,,,
267,ヘッダ部,UN01005923,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,,,,,,,,,インボイス文書決済／支払手段グループ,インボイス文書決済に関する支払手段のグループ。,0..n,,,,,,,,,,
268,ヘッダ部,UN01005670,ABIE,,,,,CI_ Trade Settlement_ Payment Means. Details,,,,,,,,支払手段クラス, 取引決済の目的で支払が行われる、あるいは行われた手段のクラス,－,,,,,,,,,,
269,ヘッダ部,UN01005672,BBIE,,,,,,CI_ Trade Settlement_ Payment Means. Type. Code,,,,,,,支払手段タイプコード,取引決済手段のタイプを識別するコード,0..1,,,,,,,,,,
270,ヘッダ部,UN01011456,BBIE,,,,,,CI_ Trade Settlement_ Payment Means. Information. Text,,,,,,,支払手段情報,取引決済手段に関する情報,0..1,,,,,,,,,,
271,ヘッダ部,UN01015504,BBIE,,,,,,CI_ Trade Settlement_ Payment Means. Paid. Amount,,,,,,,支払金額,取引決済手段で支払う金額,0..1,,,,,,,,,,
272,ヘッダ部,UN01005677,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,,,,,,,支払手段／金融口座グループ,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,0..1,,,,,,,,,,
273,ヘッダ部,UN01005398,ABIE,,,,,,,CI_ Creditor_ Financial Account. Details,,,,,,金融口座クラス,債権者の銀行口座のクラス,－,,,,,,,,,,
274,ヘッダ部,UN01005400,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Account Name. Text,,,,,口座名義,債権者金融口座の、文字で表現された口座名。\n半角カナ（日本の場合）,0..1,,,,,,,,,,
275,ヘッダ部,UN01005401,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,,,,,口座番号,債権者金融口座の一意の所有者識別子。,0..1,,,,,,,,,,
276,ヘッダ部,UN01012127,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Type. Code,,,,,口座種別コード,債権者金融口座種別の識別子。,0..1,,,,,,,,,,
277,ヘッダ部,UN01005679,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,,,,,,,支払手段／金融機関グループ,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,0..1,,,,,,,,,,
278,ヘッダ部,UN01005402,ABIE,,,,,,,CI_ Creditor_ Financial Institution. Details,,,,,,金融機関クラス,金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業機関。,－,,,,,,,,,,
279,ヘッダ部,UN01005426,BBIE,,,,,,,,CI_ Creditor_ Financial Institution. Name. Text,,,,,金融機関名,債権者金融機関の、文字で表現された名前。,0..1,,,,,,,,,,
280,ヘッダ部,UN01011521,BBIE,,,,,,,,CI_ Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,,,,,金融機関番号,債権者の金融機関番号（日本の場合）,0..1,,,,,,,,,,
281,ヘッダ部,UN01005428,ASBIE,,,,,,,,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,,,,,金融機関／金融機関支店グループ,債権者金融機関の支店金融機関グループ,0..1,,,,,,,,,,
282,ヘッダ部,UN01003138,ABIE,,,,,,,,,Branch_ Financial Institution. Details,,,,金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,－,,,,,,,,,,
283,ヘッダ部,UN01003139,BBIE,,,,,,,,,,Branch_ Financial Institution. Identification. Identifier,,,金融機関支店番号,金融機関のこの支店の一意識別子,0..1,,,,,,,,,,
284,ヘッダ部,UN01003140,BBIE,,,,,,,,,,Branch_ Financial Institution. Name. Text,,,金融機関支店名,金融機関のこの支店の、文字で表現された名前,0..1,,,,,,,,,,
285,ヘッダ部,UN01006057,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,,,,,,,支払手段／金融カードグループ,支払手段の金融カードに関するグループ,0..1,,,,,,,,,,
